STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,ARM,TVSTRL,TVENRL
EFC10547,TV,0,VISIT 0,-21,,,Informed Consent,"Complete MH, Demogrpahy, Tumor Imaging, CA19-9 tests"
EFC10547,TV,1,VISIT 1,1,,,Start of 1st VISIT of treatment,
EFC10547,TV,2,VISIT 2,29,,,Start of 2nd VISIT of treatment,
EFC10547,TV,3,VISIT 3,57,,,Start of 3rd VISIT of treatment,
EFC10547,TV,4,VISIT 4,85,,,Start of 4th VISIT of treatment,
EFC10547,TV,5,VISIT 5,113,,,Start of 5th VISIT of treatment,
EFC10547,TV,6,VISIT 6,141,,,Start of 6th VISIT of treatment,
EFC10547,TV,7,VISIT 7,169,,,Start of 7th VISIT of treatment,
EFC10547,TV,8,VISIT 8,197,,,Start of 8th VISIT of treatment,
EFC10547,TV,9,VISIT 9,225,,,Satrt of 9th VISIT of treatment,
EFC10547,TV,10,VISIT 10,253,,,Satrt of 10th VISIT of treatment,
EFC10547,TV,11,VISIT 11,281,,,Satrt of 11th VISIT of treatment,
EFC10547,TV,12,VISIT 12,309,,,Start of 12th VISIT of treatment,
EFC10547,TV,13,VISIT 13,337,,,Start of 13th VISIT of treatment,
EFC10547,TV,14,VISIT 14,365,,,Satrt of 14th VISIT of treatment,
EFC10547,TV,15,VISIT 15,393,,,Start of 15th  VISIT of treatment,
EFC10547,TV,16,VISIT 16,421,,,Start of 16th VISIT of treatment,
EFC10547,TV,17,VISIT 17,449,,,Satrt of 17th VISIT of treatment,
EFC10547,TV,18,VISIT 18,477,,,Start of 18th VISIT of treatment,
EFC10547,TV,19,VISIT 19,505,,,Start of 19th VISIT of treatment,
EFC10547,TV,20,VISIT TREAT END,533,,,End of last treatment VISIT or withdrawal,
EFC10547,TV,80,VISIT 80,563,,,First follow up VISIT on 30 days of end of treatment epoch or withdrawal from study,
EFC10547,TV,81,VISIT 81,619,,,End of the 1st follow up VISIT,
EFC10547,TV,82,VISIT 82,675,,,End of the 2nd follow up VISIT,
EFC10547,TV,83,VISIT 83,731,,,End of the 3rd follow up VISIT,
EFC10547,TV,84,VISIT 84,787,,,End of the 4th follow up VISIT,
EFC10547,TV,85,VISIT 85,843,,,End of the 5th follow up VISIT,
EFC10547,TV,86,VISIT 86,899,,,End of the 6th follow up VISIT,
EFC10547,TV,87,VISIT 87,955,,,End of the 7th follow up VISIT,
EFC10547,TV,88,VISIT 88,1011,,,End of the 8th follow up VISIT,
EFC10547,TV,89,VISIT 89,1067,,,End of the 9th follow up VISIT,
