WHERECLAUSEOID,SEQ,SOFTHARD,ITEMOID,COMPARATOR,VALUES,COMMENTOID,
WC.LB.LBTESTCD.GLUC.LBCAT.CHEMISTRY,1,Soft,LB.LBCAT,EQ,CHEMISTRY,,
WC.LB.LBTESTCD.GLUC.LBCAT.CHEMISTRY,2,Soft,LB.LBTESTCD,EQ,GLUC,,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS,1,Soft,LB.LBCAT,EQ,URINALYSIS,,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS,2,Soft,LB.LBTESTCD,EQ,GLUC,,
WC.ITTFL,1,Soft,ADSL.ITTFL,EQ,Y,,
WC.Table_14.2.1.1,1,Soft,ADEF.ITTFL,EQ,Y,,
WC.Table_14.2.1.1,2,Soft,ADEF.ABLFL,NE,Y,,
WC.Table_14.2.1.1,3,Soft,ADEF.PARAMCD,EQ,XPPAIN,,
WC.Figure_14.2.1.1,1,Soft,ADTTE.ITTFL,EQ,Y,,
WC.Figure_14.2.1.1,2,Soft,ADTTE.PARAMCD,EQ,TTPNRELF,,
WC.Table_14.3.2.1,1,Soft,ADAE.TRTEMFL,EQ,Y,,
